TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
46:12.0,1.82,-50.382843,16.18800746,3.577832,4.22803,5.073643,5.484091,1.238062,1.983513,2.07549,1.257764,1.970428,2.019699
46:13.0,1.84,-50.383949,16.18836281,3.5844,4.22803,5.072001,5.495585,1.238062,1.98023,2.078775,1.251196,1.973712,2.016415
46:14.0,1.86,-50.357021,16.17971085,3.577832,4.226388,5.066255,5.498869,1.234778,1.98023,2.078775,1.236418,1.976996,2.016415
46:15.0,1.87,-50.360992,16.18098673,3.578653,4.22803,5.077748,5.489838,1.24463,1.985155,2.078775,1.244628,1.967144,2.019699
46:16.0,1.89,-50.349075,16.1771578,3.577832,4.226388,5.072001,5.495585,1.241346,1.98023,2.080417,1.247912,1.967144,2.016415
46:17.0,1.91,-50.34201,16.17488781,3.572906,4.22803,5.074464,5.489838,1.241346,1.98023,2.078775,1.252838,1.973712,2.016415
46:18.0,1.92,-50.331417,16.17148428,3.572085,4.22803,5.076927,5.479166,1.238062,1.98023,2.078775,1.247912,1.97207,2.016415
46:19.0,1.94,-50.316849,16.16680358,3.579474,4.22803,5.081853,5.485733,1.239704,1.976946,2.078775,1.261048,1.967144,2.016415
46:20.0,1.96,-50.299194,16.16113103,3.577832,4.226388,5.067075,5.487375,1.241346,1.976946,2.082059,1.25448,1.973712,2.019699
46:21.0,1.97,-50.294117,16.15949979,3.577832,4.22803,5.076927,5.490659,1.238062,1.978588,2.07549,1.251196,1.967144,2.016415
46:22.0,1.99,-50.287052,16.15722981,3.581116,4.226388,5.073643,5.48245,1.241346,1.976946,2.082059,1.247912,1.967144,2.016415
46:23.0,2.01,-50.274693,16.15325886,3.577832,4.22803,5.081853,5.485733,1.241346,1.98023,2.078775,1.25448,1.970428,2.016415
46:24.0,2.02,-50.262775,16.14942961,3.577832,4.22803,5.075285,5.490659,1.238062,1.98023,2.078775,1.25448,1.967144,2.019699
46:25.1,2.04,-50.257698,16.14779837,3.577832,4.224746,5.076927,5.47506,1.238062,1.98023,2.078775,1.241344,1.970428,2.019699
46:26.1,2.06,-50.240482,16.14226687,3.577832,4.22803,5.072001,5.489017,1.238062,1.983513,2.078775,1.251196,1.967144,2.019699
46:27.1,2.07,-50.23695,16.14113204,3.577832,4.226388,5.072001,5.489017,1.241346,1.98023,2.078775,1.251196,1.970428,2.018057
46:28.1,2.09,-50.231213,16.13928874,3.574548,4.22803,5.078569,5.495585,1.238062,1.983513,2.07549,1.244628,1.970428,2.016415
46:29.1,2.11,-50.226357,16.1377285,3.581937,4.224746,5.069539,5.48327,1.241346,1.98023,2.078775,1.244628,1.970428,2.016415
46:30.1,2.12,-50.213333,16.13354389,3.574548,4.22803,5.078569,5.492301,1.238062,1.983513,2.078775,1.244628,1.973712,2.016415
46:31.1,2.14,-50.202076,16.12992702,3.580295,4.22803,5.074464,5.485733,1.234778,1.98023,2.077132,1.247912,1.970428,2.016415
46:32.1,2.16,-50.188835,16.12567269,3.569622,4.226388,5.076927,5.475882,1.238062,1.983513,2.078775,1.241344,1.970428,2.019699
46:33.1,2.17,-50.18795,16.12538834,3.579474,4.22803,5.081032,5.484912,1.241346,1.98023,2.078775,1.25448,1.970428,2.019699
46:34.1,2.19,-50.18111,16.12319064,3.574548,4.22803,5.081853,5.490659,1.238062,1.98023,2.082059,1.251196,1.967144,2.016415
46:35.1,2.21,-50.178242,16.12226915,3.581116,4.227209,5.075285,5.484091,1.238062,1.98023,2.078775,1.241344,1.967144,2.016415
46:36.1,2.22,-50.168308,16.11907736,3.574548,4.226388,5.080211,5.490659,1.238062,1.983513,2.078775,1.247912,1.970428,2.019699
46:37.1,2.24,-50.164776,16.11794253,3.582758,4.226388,5.078569,5.475882,1.241346,1.98023,2.07549,1.251196,1.970428,2.016415
46:38.1,2.26,-50.153519,16.11432565,3.581116,4.226388,5.072001,5.498869,1.238062,1.98023,2.078775,1.25448,1.973712,2.019699
46:39.1,2.27,-50.1469,16.11219897,3.577832,4.226388,5.081853,5.475882,1.241346,1.983513,2.07549,1.247912,1.967144,2.019699
46:40.1,2.29,-50.130787,16.10702186,3.577832,4.226388,5.080211,5.473419,1.241346,1.98023,2.082059,1.244628,1.970428,2.018057
46:41.1,2.31,-50.129021,16.10645445,3.575369,4.22803,5.075285,5.49148,1.234778,1.976946,2.078775,1.249554,1.970428,2.019699
46:42.1,2.32,-50.126812,16.1057447,3.574548,4.22803,5.078569,5.489017,1.241346,1.98023,2.078775,1.247912,1.970428,2.016415
46:43.1,2.34,-50.125267,16.10524829,3.5844,4.226388,5.070359,5.470956,1.238062,1.983513,2.078775,1.23806,1.970428,2.016415
46:44.1,2.36,-50.112026,16.10099395,3.579474,4.226388,5.080211,5.495585,1.241346,1.976946,2.078775,1.25448,1.967144,2.016415
46:45.1,2.37,-50.103416,16.09822756,3.577011,4.228851,5.081853,5.484091,1.238062,1.983513,2.07549,1.257764,1.967144,2.016415
46:46.1,2.39,-50.103416,16.09822756,3.579474,4.22803,5.076927,5.475882,1.234778,1.98023,2.078775,1.244628,1.967144,2.016415
46:47.1,2.41,-50.098343,16.09659761,3.577832,4.226388,5.081853,5.493122,1.238062,1.976946,2.078775,1.244628,1.970428,2.016415
46:48.1,2.42,-50.087307,16.09305174,3.569622,4.22803,5.080211,5.497227,1.24463,1.98023,2.07549,1.251196,1.973712,2.016415
46:49.1,2.44,-50.089069,16.09361787,3.57619,4.22803,5.073643,5.489017,1.238062,1.98023,2.07549,1.25448,1.967144,2.016415
46:50.1,2.46,-50.072517,16.08829971,3.574548,4.22803,5.080211,5.485733,1.24463,1.983513,2.078775,1.234776,1.970428,2.019699
46:51.1,2.47,-50.070972,16.0878033,3.577832,4.22803,5.076927,5.480807,1.241346,1.98023,2.07549,1.241344,1.970428,2.016415
46:52.1,2.49,-50.068546,16.08702383,3.574548,4.226388,5.075285,5.484091,1.238062,1.98023,2.07549,1.244628,1.967144,2.016415
46:53.1,2.51,-50.062145,16.08496719,3.574548,4.226388,5.073643,5.48245,1.238062,1.98023,2.078775,1.244628,1.967144,2.016415
46:54.1,2.52,-50.048019,16.0804285,3.572906,4.22803,5.080211,5.480807,1.238062,1.98023,2.078775,1.25448,1.973712,2.016415
46:55.1,2.54,-50.046032,16.07979008,3.572906,4.22803,5.073643,5.489017,1.241346,1.98023,2.078775,1.251196,1.970428,2.016415
46:56.1,2.56,-50.045589,16.07964775,3.574548,4.229672,5.078569,5.495585,1.241346,1.98023,2.078775,1.251196,1.970428,2.016415
46:57.1,2.57,-50.042057,16.07851291,3.577011,4.226388,5.070359,5.487375,1.241346,1.98023,2.078775,1.257764,1.97207,2.019699
46:58.1,2.59,-50.047577,16.08028649,3.5844,4.226388,5.070359,5.492301,1.234778,1.976946,2.078775,1.244628,1.970428,2.016415
46:59.1,2.61,-50.028595,16.07418757,3.5844,4.22803,5.076927,5.485733,1.238062,1.976946,2.07549,1.244628,1.967144,2.016415
47:00.1,2.62,-50.030361,16.07475499,3.571264,4.22803,5.078569,5.498869,1.241346,1.976946,2.078775,1.244628,1.967144,2.016415
