Displacement in m,Displacement in mm,Load in N,Load in kN
0.004555,4.554642,27687.669922,27.687670
0.004555,4.554845,27685.103516,27.685104
0.004555,4.555149,27681.261719,27.681262
0.004556,4.555604,27675.515625,27.675516
0.004556,4.555775,27673.365234,27.673365
0.004556,4.556030,27670.148438,27.670148
0.004556,4.556412,27665.337891,27.665338
0.004557,4.556986,27658.142578,27.658143
0.004557,4.557200,27655.453125,27.655453
0.004558,4.557522,27651.425781,27.651426
0.004558,4.558003,27645.404297,27.645404
0.004558,4.558183,27643.152344,27.643152
0.004558,4.558453,27639.781250,27.639781
0.004559,4.558858,27634.738281,27.634738
0.004559,4.559009,27632.853516,27.632854
0.004559,4.559236,27630.029297,27.630029
0.004560,4.559575,27625.804688,27.625805
0.004560,4.560084,27619.488281,27.619488
0.004560,4.560275,27617.126953,27.617127
0.004561,4.560560,27613.589844,27.613590
0.004561,4.560988,27608.300781,27.608301
0.004561,4.561148,27606.322266,27.606322
0.004561,4.561387,27603.361328,27.603361
0.004562,4.561746,27598.931641,27.598932
0.004562,4.562285,27592.306641,27.592307
0.004562,4.562486,27589.828125,27.589828
0.004563,4.562788,27586.121094,27.586121
0.004563,4.563240,27580.576172,27.580576
0.004563,4.563409,27578.503906,27.578504
0.004564,4.563663,27575.398438,27.575398
0.004564,4.564043,27570.753906,27.570754
0.004564,4.564185,27569.017578,27.569018
0.004564,4.564398,27566.416016,27.566416
0.004565,4.564716,27562.527344,27.562527
0.004565,4.565194,27556.710938,27.556711
0.004565,4.565373,27554.535156,27.554535
0.004566,4.565641,27551.279297,27.551279
0.004566,4.566042,27546.408203,27.546408
0.004566,4.566192,27544.585938,27.544586
0.004566,4.566417,27541.857422,27.541857
0.004567,4.566754,27537.777344,27.537777
0.004567,4.567259,27531.677734,27.531678
0.004567,4.567448,27529.396484,27.529396
0.004568,4.567731,27525.982422,27.525982
0.004568,4.568155,27520.875000,27.520875
0.004568,4.568313,27518.964844,27.518965
0.004569,4.568551,27516.103516,27.516104
0.004569,4.568907,27511.826172,27.511826
0.004569,4.569041,27510.224609,27.510225
0.004569,4.569240,27507.828125,27.507828
0.004570,4.569540,27504.244141,27.504244
0.004570,4.569988,27498.880859,27.498881
0.004570,4.570155,27496.876953,27.496877
0.004570,4.570407,27493.873047,27.493873
0.004571,4.570784,27489.382812,27.489383
0.004571,4.570924,27487.703125,27.487703
0.004571,4.571135,27485.189453,27.485189
0.004571,4.571451,27481.429688,27.481430
0.004572,4.571924,27475.806641,27.475807
0.004572,4.572102,27473.703125,27.473703
0.004572,4.572367,27470.556641,27.470557
0.004573,4.572765,27465.847656,27.465848
0.004573,4.572914,27464.085938,27.464086
0.004573,4.573137,27461.449219,27.461449
0.004573,4.573470,27457.503906,27.457504
0.004574,4.573971,27451.605469,27.451605
0.004574,4.574158,27449.400391,27.449400
0.004574,4.574439,27446.097656,27.446098
0.004575,4.574859,27441.158203,27.441158
0.004575,4.575016,27439.310547,27.439311
0.004575,4.575252,27436.544922,27.436545
0.004576,4.575605,27432.408203,27.432408
0.004576,4.575737,27430.861328,27.430861
0.004576,4.575935,27428.542969,27.428543
0.004576,4.576232,27425.076172,27.425076
0.004577,4.576676,27419.890625,27.419891
0.004577,4.576842,27417.951172,27.417951
0.004577,4.577091,27415.048828,27.415049
0.004577,4.577465,27410.705078,27.410705
0.004578,4.577604,27409.082031,27.409082
0.004578,4.577814,27406.648438,27.406648
0.004578,4.578127,27403.009766,27.403010
0.004579,4.578596,27397.568359,27.397568
0.004579,4.578772,27395.533203,27.395533
0.004579,4.579036,27392.486328,27.392486
0.004579,4.579430,27387.929688,27.387930
0.004580,4.579578,27386.224609,27.386225
0.004580,4.579799,27383.671875,27.383672
0.004580,4.580130,27379.853516,27.379854
0.004580,4.580254,27378.425781,27.378426
0.004580,4.580440,27376.287109,27.376287
0.004581,4.580718,27373.087891,27.373088
0.004581,4.581135,27368.302734,27.368303
0.004581,4.581291,27366.513672,27.366514
0.004582,4.581525,27363.833984,27.363834
0.004582,4.581874,27359.826172,27.359826
0.004582,4.582006,27358.328125,27.358328
0.004582,4.582202,27356.083984,27.356084
0.004582,4.582496,27352.724609,27.352725
0.004583,4.582936,27347.703125,27.347703
0.004583,4.583101,27345.824219,27.345824
0.004583,4.583348,27343.013672,27.343014
0.004584,4.583717,27338.808594,27.338809
0.004584,4.583856,27337.234375,27.337234
0.004584,4.584063,27334.878906,27.334879
0.004584,4.584373,27331.355469,27.331355
0.004584,4.584490,27330.039062,27.330039
0.004585,4.584664,27328.066406,27.328066
0.004585,4.584924,27325.115234,27.325115
0.004585,4.585315,27320.701172,27.320701
0.004585,4.585461,27319.050781,27.319051
0.004586,4.585680,27316.580078,27.316580
