Displacement in m,Displacement in mm,Load in N,Load in kN
0.039934,39.933942,26207.138672,26.207139
0.039934,39.933942,26205.867188,26.205867
0.040069,40.068746,26204.599609,26.204600
0.040204,40.204138,26203.333984,26.203334
0.040204,40.204138,26202.074219,26.202074
0.040340,40.340122,26203.333984,26.203334
0.040340,40.340122,26202.074219,26.202074
0.040477,40.476702,26200.818359,26.200818
0.040477,40.476702,26199.564453,26.199564
0.040614,40.613890,26200.818359,26.200818
0.040614,40.613890,26199.564453,26.199564
0.040752,40.751677,26198.316406,26.198316
0.040752,40.751677,26197.072266,26.197072
0.040890,40.890079,26198.316406,26.198316
0.040890,40.890079,26197.072266,26.197072
0.041029,41.029103,26195.830078,26.195830
0.041029,41.029103,26194.593750,26.194594
0.041169,41.168749,26195.830078,26.195830
0.041169,41.168749,26194.593750,26.194594
0.041309,41.309025,26193.359375,26.193359
0.041309,41.309025,26192.128906,26.192129
0.041450,41.449923,26193.359375,26.193359
0.041450,41.449923,26192.128906,26.192129
0.041591,41.591451,26190.904297,26.190904
0.041591,41.591451,26189.681641,26.189682
0.041734,41.733604,26190.904297,26.190904
0.041734,41.733604,26189.681641,26.189682
0.041876,41.876379,26188.462891,26.188463
0.041876,41.876379,26187.248047,26.187248
0.042020,42.019777,26188.462891,26.188463
0.042020,42.019777,26187.248047,26.187248
0.042164,42.163800,26186.037109,26.186037
0.042164,42.163800,26184.828125,26.184828
0.042308,42.308453,26186.037109,26.186037
0.042308,42.308453,26184.828125,26.184828
0.042454,42.453736,26183.625000,26.183625
0.042454,42.453736,26182.425781,26.182426
0.042600,42.599656,26183.625000,26.183625
0.042600,42.599656,26182.425781,26.182426
0.042746,42.746224,26181.228516,26.181229
0.042746,42.746224,26180.035156,26.180035
0.042893,42.893451,26181.228516,26.181229
0.042893,42.893451,26180.035156,26.180035
0.043041,43.041352,26178.847656,26.178848
0.043041,43.041352,26177.662109,26.177662
0.043190,43.189932,26178.847656,26.178848
0.043190,43.189932,26177.662109,26.177662
0.043339,43.339193,26176.478516,26.176479
0.043339,43.339193,26175.300781,26.175301
0.043489,43.489140,26176.478516,26.176479
0.043489,43.489140,26175.300781,26.175301
0.043640,43.639764,26174.126953,26.174127
0.043640,43.639764,26172.955078,26.172955
0.043791,43.791082,26174.126953,26.174127
0.043791,43.791082,26172.955078,26.172955
0.043943,43.943062,26171.787109,26.171787
0.043943,43.943062,26170.623047,26.170623
0.044096,44.095635,26171.787109,26.171787
0.044096,44.095635,26170.623047,26.170623
0.044249,44.248696,26169.462891,26.169463
0.044402,44.402115,26168.306641,26.168307
0.044402,44.402115,26167.152344,26.167152
0.044556,44.555727,26168.306641,26.168307
0.044556,44.555727,26167.152344,26.167152
0.044709,44.709377,26166.001953,26.166002
0.044709,44.709377,26164.855469,26.164855
0.044863,44.862885,26166.001953,26.166002
0.044863,44.862885,26164.855469,26.164855
0.045016,45.016069,26163.712891,26.163713
0.045016,45.016069,26162.574219,26.162574
0.045169,45.168754,26163.712891,26.163713
0.045169,45.168754,26162.574219,26.162574
0.045321,45.320775,26161.437500,26.161438
0.045321,45.320775,26160.304688,26.160305
0.045472,45.472011,26161.437500,26.161438
0.045472,45.472011,26160.304688,26.160305
0.045622,45.622382,26159.175781,26.159176
0.045622,45.622382,26158.050781,26.158051
0.045772,45.771845,26159.175781,26.159176
0.045772,45.771845,26158.050781,26.158051
0.045920,45.920387,26156.927734,26.156928
0.045920,45.920387,26155.808594,26.155809
0.046068,46.067983,26156.927734,26.156928
0.046068,46.067983,26155.808594,26.155809
0.046215,46.214584,26154.693359,26.154693
0.046215,46.214584,26153.582031,26.153582
0.046360,46.360146,26154.693359,26.154693
0.046360,46.360146,26153.582031,26.153582
0.046505,46.504628,26152.472656,26.152473
0.046505,46.504628,26151.367188,26.151367
0.046648,46.648014,26152.472656,26.152473
0.046648,46.648014,26151.367188,26.151367
0.046790,46.790283,26150.265625,26.150266
0.046790,46.790283,26149.167969,26.149168
0.046931,46.931408,26150.265625,26.150266
0.046931,46.931408,26149.167969,26.149168
0.047071,47.071382,26148.072266,26.148072
0.047071,47.071382,26146.980469,26.146980
0.047210,47.210187,26148.072266,26.148072
0.047210,47.210187,26146.980469,26.146980
0.047348,47.347814,26145.892578,26.145893
0.047348,47.347814,26144.806641,26.144807
0.047484,47.484256,26145.892578,26.145893
0.047484,47.484256,26144.806641,26.144807
0.047619,47.619496,26143.724609,26.143725
0.047619,47.619496,26142.644531,26.142645
0.047754,47.753520,26143.724609,26.143725
0.047754,47.753520,26142.644531,26.142645
0.047886,47.886338,26141.570312,26.141570
0.047886,47.886338,26140.498047,26.140498
0.048018,48.017941,26141.570312,26.141570
0.048018,48.017941,26140.498047,26.140498
0.048148,48.148323,26139.429688,26.139430
0.048148,48.148323,26138.363281,26.138363
0.048277,48.277479,26139.429688,26.139430
0.048277,48.277479,26138.363281,26.138363
0.048405,48.405416,26137.300781,26.137301
0.048405,48.405416,26136.240234,26.136240
0.048532,48.532143,26137.300781,26.137301
0.048532,48.532143,26136.240234,26.136240
0.048658,48.657671,26135.185547,26.135186
0.048782,48.782017,26134.132812,26.134133
0.048782,48.782017,26133.082031,26.133082
0.048905,48.905190,26134.132812,26.134133
0.048905,48.905190,26133.082031,26.133082
0.049027,49.027216,26132.035156,26.132035
0.049027,49.027216,26130.992188,26.130992
0.049148,49.148101,26132.035156,26.132035
0.049148,49.148101,26130.992188,26.130992
0.049268,49.267862,26129.953125,26.129953
0.049268,49.267862,26128.916016,26.128916
0.049387,49.386520,26129.953125,26.129953
0.049387,49.386520,26128.916016,26.128916
0.049504,49.504086,26127.880859,26.127881
0.049504,49.504086,26126.849609,26.126850
0.049621,49.620572,26127.880859,26.127881
0.049621,49.620572,26126.849609,26.126850
0.049736,49.735993,26125.822266,26.125822
0.049736,49.735993,26124.798828,26.124799
0.049850,49.850367,26125.822266,26.125822
0.049850,49.850367,26124.798828,26.124799
0.049964,49.963709,26123.777344,26.123777
0.049964,49.963709,26122.757812,26.122758
0.050076,50.076026,26123.777344,26.123777
0.050076,50.076026,26122.757812,26.122758
0.050187,50.187342,26121.742188,26.121742
0.050187,50.187342,26120.730469,26.120730
0.050298,50.297689,26121.742188,26.121742
0.050298,50.297689,26120.730469,26.120730
0.050407,50.407074,26119.720703,26.119721
0.050407,50.407074,26118.714844,26.118715
0.050516,50.515510,26119.720703,26.119721
0.050516,50.515510,26118.714844,26.118715
0.050623,50.623022,26117.712891,26.117713
0.050623,50.623022,26116.712891,26.116713
0.050730,50.729629,26117.712891,26.117713
0.050730,50.729629,26116.712891,26.116713
0.050835,50.835345,26115.714844,26.115715
0.050835,50.835345,26114.720703,26.114721
0.050940,50.940186,26115.714844,26.115715
0.050940,50.940186,26114.720703,26.114721
