Displacement in m,Displacement in mm,Load in N,Load in kN
0.004594,4.594457,71819.51563,71.819516
0.00462,4.620396,71817.02344,71.817023
0.004665,4.664885,71741.44531,71.741445
0.004684,4.683966,71674.14063,71.674141
0.004717,4.71723,71559.79688,71.559797
0.004776,4.775943,71415.88281,71.415883
0.004791,4.791039,71389.08594,71.389086
0.004795,4.795114,71375.58594,71.375586
0.004799,4.799232,71363.03125,71.363031
0.004803,4.803426,71352.1875,71.352187
0.00481,4.80995,71339.32813,71.339328
0.004821,4.821314,71322.95313,71.322953
0.004836,4.83636,71303.3125,71.303313
0.00484,4.840448,71297.99219,71.297992
0.004845,4.844857,71292.23438,71.292234
0.004852,4.852129,71282.45313,71.282453
0.004864,4.864146,71265.33594,71.265336
0.004892,4.892256,71219.21094,71.219211
0.004899,4.899397,71207.05469,71.207055
0.004907,4.90651,71194.50781,71.194508
0.004917,4.916944,71175.60938,71.175609
0.004932,4.932016,71149.01563,71.149016
0.004961,4.960758,71101.42188,71.101422
0.004974,4.973502,71079.85156,71.079852
0.004993,4.992754,71044.9375,71.044938
0.00502,5.020312,70992.70313,70.992703
0.005046,5.04637,70944.05469,70.944055
0.005078,5.077635,70884.82813,70.884828
0.005091,5.091034,70858.32813,70.858328
0.005111,5.111324,70812.42969,70.81243
0.005141,5.141194,70738.23438,70.738234
0.005202,5.202321,70584.36719,70.584367
0.005266,5.265564,70427.33594,70.427336
0.005288,5.287694,70379.33594,70.379336
0.005311,5.310808,70325.40625,70.325406
0.005335,5.334511,70267.20313,70.267203
0.005371,5.37072,70177.39063,70.177391
