TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
33:34.7,-46.663338,14.9929305,1.968724,1.970366,2.054087,2.052445,-0.193752,0.197036,-0.236443,0.239727,-0.298837,0.308689,-0.22659,0.22659,-0.206887,0.203603,-0.121505,0.111653
33:35.7,-46.663338,14.9929305,1.970366,1.972008,2.091032,2.08939,-0.190469,0.193753,-0.233159,0.236443,-0.29227,0.302122,-0.229874,0.229874,-0.220023,0.216739,-0.10837,0.098518
33:36.7,-47.539581,15.27446738,1.970366,1.972008,2.12305,2.121408,-0.193752,0.197036,-0.233159,0.236443,-0.29227,0.302122,-0.249578,0.249578,-0.25943,0.256146,-0.036123,0.026271
33:37.7,-46.349037,14.89194559,1.97365,1.975292,2.146037,2.144395,-0.20032,0.203604,-0.229875,0.233159,-0.305405,0.315257,-0.272565,0.272565,-0.292269,0.288985,0.01642,0.026272
33:38.7,-47.067909,15.12291916,2.114859,2.116501,2.226493,2.224851,-0.193752,0.197036,-0.220023,0.223307,-0.288986,0.298838,-0.30212,0.30212,-0.3678,0.364516,0.114938,0.12479
33:39.7,-46.626038,14.98094601,2.114859,2.116501,2.283962,2.28232,-0.177333,0.180617,-0.213455,0.216739,-0.288986,0.298838,-0.31854,0.31854,-0.397355,0.394071,0.147777,0.157629
33:40.7,-48.203495,15.48778294,2.116501,2.118143,2.328295,2.326653,-0.177333,0.180617,-0.197036,0.20032,-0.29227,0.302122,-0.328392,0.328392,-0.420343,0.417059,0.16748,0.177332
33:41.7,-48.495281,15.58153379,2.157551,2.159193,2.410393,2.408751,-0.190469,0.193753,-0.187184,0.190468,-0.282418,0.29227,-0.334959,0.334959,-0.440046,0.436762,0.1839,0.193752
33:42.7,-50.250854,16.14559939,2.195316,2.196958,2.480997,2.479355,-0.20032,0.203604,-0.174048,0.177332,-0.288986,0.298838,-0.348095,0.348095,-0.449898,0.446614,0.20032,0.210172
33:43.7,-50.433609,16.20431857,2.219946,2.221588,2.52533,2.523688,-0.193752,0.197036,-0.164196,0.16748,-0.29227,0.302122,-0.348095,0.348095,-0.456466,0.453182,0.216739,0.226591
33:44.8,-51.077438,16.41118083,2.262637,2.264279,2.579514,2.577872,-0.193752,0.197036,-0.154345,0.157629,-0.282418,0.29227,-0.348095,0.348095,-0.456466,0.453182,0.223307,0.233159
33:45.8,-52.561092,16.88787886,2.343094,2.344736,2.719902,2.71826,-0.183901,0.187185,-0.134641,0.137925,-0.29227,0.302122,-0.348095,0.348095,-0.45975,0.456466,0.269282,0.279134
33:46.8,-53.117073,17.06651555,2.367723,2.369365,2.783117,2.781475,-0.203604,0.206888,-0.114937,0.118221,-0.269282,0.279134,-0.344811,0.344811,-0.463034,0.45975,0.280776,0.290628
33:47.8,-51.664101,16.59967565,2.367723,2.369365,2.801179,2.799537,-0.203604,0.206888,-0.111653,0.114937,-0.272566,0.282418,-0.341527,0.341527,-0.469602,0.466318,0.282418,0.29227
33:48.8,-51.422859,16.5221646,2.368544,2.370186,2.82745,2.825808,-0.187185,0.190469,-0.10837,0.111654,-0.265998,0.27585,-0.334959,0.334959,-0.463034,0.45975,0.285702,0.295554
33:49.8,-53.831974,17.29621325,2.413699,2.415341,2.955523,2.953881,-0.187185,0.190469,-0.088666,0.09195,-0.239727,0.249579,-0.30212,0.30212,-0.463034,0.45975,0.298838,0.30869
33:50.8,-54.402523,17.47953064,2.548341,2.549983,3.042547,3.040905,-0.177333,0.180617,-0.07553,0.078814,-0.229875,0.239727,-0.288985,0.288985,-0.456466,0.453182,0.298838,0.30869
33:51.8,-55.219395,17.74199161,2.549983,2.551625,3.137781,3.136139,-0.193752,0.197036,-0.07553,0.078814,-0.226591,0.236443,-0.279133,0.279133,-0.463034,0.45975,0.311974,0.321826
33:52.8,-54.956299,17.65745887,2.546699,2.548341,3.200175,3.198533,-0.193752,0.197036,-0.072246,0.07553,-0.233159,0.243011,-0.275849,0.275849,-0.456466,0.453182,0.311974,0.321826
33:53.8,-55.188053,17.73192143,2.696118,2.69776,3.819195,3.817553,-0.183901,0.187185,-0.095234,0.098518,-0.243011,0.252863,-0.334959,0.334959,-0.5517,0.548416,0.469602,0.479454
33:54.8,-51.12114,16.42522228,2.696118,2.69776,3.971897,3.970255,-0.206888,0.210172,-0.121505,0.124789,-0.249578,0.25943,-0.380934,0.380934,-0.604243,0.600959,0.525429,0.535281
33:55.8,-49.912056,16.03674359,2.69776,2.699402,4.096686,4.095044,-0.206888,0.210172,-0.128073,0.131357,-0.243011,0.252863,-0.387502,0.387502,-0.620662,0.617378,0.554985,0.564837
33:56.8,-49.794636,15.99901655,2.69776,2.699402,4.144303,4.142661,-0.20032,0.203604,-0.128073,0.131357,-0.243011,0.252863,-0.39407,0.39407,-0.633798,0.630514,0.574688,0.58454
33:57.8,-50.85672,16.34026414,2.732242,2.733884,4.329845,4.328203,-0.21674,0.220024,-0.131357,0.134641,-0.246295,0.256147,-0.395712,0.395712,-0.648575,0.645291,0.60096,0.610812
