TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
23:21.1,-13.37539,10.72351281,6.631927,6.559681,5.948843,5.927498,5.696778,5.935682,6.321547,6.305127,1.566449,1.520474,1.513919,1.70439,1.976947,2.019639,-2.075445,-1.380893,3.326698,3.280722,-3.988317,-4.226401,2.222507,2.172802,1.345566,1.331365,-0.076283,-0.048544,0.013869,-0.027738,0.305066,0.291199,0.90125,0.873519
23:22.1,-13.442046,10.74492938,6.633568,6.561322,5.945559,5.924214,5.69842,5.937324,6.318263,6.301843,1.566449,1.520474,1.517203,1.707674,1.976947,2.019639,-2.100075,-1.405523,3.32013,3.274154,-3.975182,-4.213266,1.997064,1.947359,1.345566,1.331365,-0.090153,-0.062414,0.013869,-0.027738,0.287732,0.273865,0.866587,0.838856
23:23.1,-13.481113,10.75748161,6.631927,6.559681,5.943917,5.922572,5.70745,5.946354,6.318263,6.301843,1.563165,1.51719,1.504067,1.694538,1.973663,2.016355,-2.080371,-1.385819,3.313562,3.267586,-3.988317,-4.226401,2.19233,2.142625,1.343791,1.32959,-0.055479,-0.02774,0.013869,-0.027738,0.305066,0.291199,0.894317,0.866586
23:24.1,-13.530774,10.77343769,6.631927,6.559681,5.942275,5.92093,5.704988,5.943892,6.316621,6.300201,1.566449,1.520474,1.504067,1.694538,1.967095,2.009787,-2.016335,-1.321783,3.310278,3.264302,-3.983392,-4.221476,2.037893,1.988188,1.359767,1.345566,-0.083218,-0.055479,0.020804,-0.020803,0.305066,0.291199,0.880452,0.852721
23:25.2,-13.606921,10.79790372,6.631927,6.559681,5.940633,5.919288,5.691852,5.930756,6.31498,6.29856,1.559881,1.513906,1.510635,1.701106,1.967095,2.009787,-2.119778,-1.425226,3.306994,3.261018,-3.971898,-4.209982,2.036117,1.986412,1.462725,1.448524,-0.100555,-0.072816,0.006935,-0.034672,0.405598,0.391731,1.008705,0.980974
23:26.2,-13.660114,10.81499463,6.631927,6.559681,5.937349,5.916004,5.701704,5.940608,6.313337,6.296917,1.553313,1.507338,1.510635,1.701106,1.963811,2.006503,-2.040964,-1.346412,3.306994,3.261018,-3.971898,-4.209982,2.211856,2.162151,1.46095,1.446749,-0.072816,-0.045077,-0.006935,-0.048542,0.415998,0.402131,1.029503,1.001772
23:27.2,-13.702271,10.82853967,6.631927,6.559681,5.937349,5.916004,5.703346,5.94225,6.313337,6.296917,1.553313,1.507338,1.500783,1.691254,1.963811,2.006503,-2.03768,-1.343128,3.306994,3.261018,-3.971898,-4.209982,1.95091,1.901205,1.466275,1.452074,-0.097088,-0.069349,0.034673,-0.006934,0.422931,0.409064,1.03297,1.005239
23:28.2,-13.733392,10.83853885,6.633568,6.561322,5.935707,5.914362,5.683642,5.922546,6.312516,6.296096,1.550029,1.504054,1.500783,1.691254,1.963811,2.006503,-2.073803,-1.379251,3.306994,3.261018,-3.96533,-4.203414,2.115999,2.066294,1.473376,1.459175,-0.069348,-0.041609,-0.013869,-0.055476,0.436798,0.422931,1.046835,1.019104
23:29.2,-13.769368,10.85009794,6.631927,6.559681,5.935707,5.914362,5.701704,5.940608,6.310053,6.293633,1.550029,1.504054,1.497499,1.68797,1.967095,2.009787,-2.0541,-1.359548,3.30371,3.257734,-3.975182,-4.213266,2.183454,2.133749,1.514204,1.500003,-0.052011,-0.024272,0,-0.041607,0.485331,0.471464,1.102296,1.074565
23:30.2,-13.794088,10.85804047,6.631927,6.559681,5.935707,5.914362,5.700062,5.938966,6.310053,6.293633,1.546745,1.50077,1.494215,1.684686,1.963811,2.006503,-2.077087,-1.382535,3.297142,3.251166,-3.971898,-4.209982,2.13375,2.084045,1.505328,1.491127,-0.104022,-0.076283,0.006935,-0.034672,0.488798,0.474931,1.091897,1.064166
23:31.2,-13.839335,10.87257834,6.627001,6.554755,5.932423,5.911078,5.712377,5.951281,6.308412,6.291992,1.548387,1.502412,1.497499,1.68797,1.963811,2.006503,-2.073803,-1.379251,3.297142,3.251166,-3.962046,-4.20013,2.055644,2.005939,1.501778,1.487577,-0.086685,-0.058946,-0.017336,-0.058943,0.474931,0.461064,1.078032,1.050301
23:32.2,-13.854123,10.87732972,6.622075,6.549829,5.930781,5.909436,5.693494,5.932398,6.308412,6.291992,1.546745,1.50077,1.500783,1.691254,1.963811,2.006503,-2.078729,-1.384177,3.297142,3.251166,-3.975182,-4.213266,2.172803,2.123098,1.540831,1.52663,-0.083218,-0.055479,0.006935,-0.034672,0.485331,0.471464,1.143891,1.11616
23:33.2,-13.892307,10.88959824,6.618791,6.546545,5.929139,5.907794,5.692673,5.931577,6.306769,6.290349,1.546745,1.50077,1.490931,1.681402,1.963811,2.006503,-2.026186,-1.331634,3.297142,3.251166,-3.971898,-4.209982,2.288187,2.238482,1.617161,1.60296,-0.086685,-0.058946,-0.013869,-0.055476,0.530397,0.51653,1.240948,1.213217
23:34.2,-13.913496,10.89640626,6.620433,6.548187,5.930781,5.909436,5.686105,5.925009,6.305949,6.289529,1.548387,1.502412,1.490931,1.681402,1.963811,2.006503,-2.03768,-1.343128,3.293858,3.247882,-3.952194,-4.190278,2.162152,2.112447,1.618936,1.604735,-0.07975,-0.052011,-0.027738,-0.069345,0.523464,0.509597,1.206285,1.178554
