TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
0.014498843,-26.204508,14.84550842,3.185418,3.270930369,2.474437,2.453092,2.036846,2.27575,2.742068,2.725648,-0.088667,0.134642,0.006568,0.197039,0.039408,0.0821,-0.021346,0.673206,0.916236,0.87026,-0.559908,0.797992,0.2361,0.186395,0.017752,0.003551,-0.031207,0.003468,0.041607,0,0.0104,0.003467,0.024265,0.003466
0.014510417,-26.849882,15.05286709,3.224825,3.316617978,2.543399,2.522054,2.095957,2.334861,2.814314,2.797894,-0.085383,0.131358,0.009852,0.200323,0.03284,0.075532,-0.034481,0.660071,0.945792,0.899816,-0.576328,0.814412,0.321309,0.271604,0.007101,0.0071,-0.01387,0.013869,0.034673,0.006934,-0.0208,0.034667,0.013866,0.013865
0.014521991,-28.212141,15.4905609,3.30364,3.41305563,2.630424,2.609079,2.175591,2.414495,2.912831,2.896411,-0.072247,0.118222,0.006568,0.197039,0.02463,0.067322,0.018062,0.712614,0.978633,0.932657,-0.600957,0.839041,0.120713,0.071008,0.021302,0.007101,-0.034674,0.006935,0.041607,0,0,0.013867,0.020798,0.006933
0.014533565,-29.186382,15.80358454,3.395591,3.482024539,2.69446,2.673115,2.247017,2.485921,3.003139,2.986719,-0.068963,0.114938,0.00821,0.198681,0.026272,0.068964,0.003284,0.697836,1.011473,0.965497,-0.625587,0.863671,0.266278,0.216573,0.010651,0.00355,-0.020804,0.006935,0.055477,0.01387,0,0.013867,0.006933,0.020798
0.014545139,-30.282679,16.15582476,3.448134,3.55963409,2.779842,2.758497,2.320905,2.559809,3.086879,3.070459,-0.059111,0.105086,0,0.190471,0.026272,0.068964,0.054185,0.748737,1.044313,0.998337,-0.648574,0.886658,0.300007,0.250302,0.005326,0.008875,0.010402,0.038141,0.027738,0.013869,0.027733,0.013866,-0.006933,0.034664
0.014556713,-30.106989,16.09937557,3.472763,3.547196566,2.797904,2.776559,2.34225,2.581154,3.100015,3.083595,-0.055827,0.101802,-0.001642,0.188829,0.022988,0.06568,0.004926,0.699478,1.042671,0.996695,-0.648574,0.886658,0.209472,0.159767,0.024852,0.010651,-0.038142,0.010403,0.020804,0.020803,0.003467,0.0104,0.010399,0.017332
0.014568287,-31.435699,16.52629009,3.709207,3.641259202,2.909558,2.888213,2.427632,2.666536,3.223162,3.206742,-0.055827,0.101802,-0.009852,0.180619,0.029556,0.072248,0.047617,0.742169,1.116561,1.070585,-0.689623,0.927707,0.145566,0.095861,0.010651,0.00355,0,0.027739,0.03814,0.003467,0.034667,0.0208,0.024265,0.003466
0.014579861,-32.445694,16.85080148,3.81101,3.712759223,3.001508,2.980163,2.542569,2.781473,3.357803,3.341383,-0.059111,0.105086,-0.03284,0.157631,0.029556,0.072248,0.052543,0.747095,1.146117,1.100141,-0.717537,0.955621,0.18462,0.134915,0.014201,0,-0.006935,0.020804,0.027738,0.013869,0.006933,0.006934,0.020798,0.006933
0.014591435,-32.445694,16.85080148,3.891466,3.712759223,3.100026,3.078681,2.650938,2.889842,3.48095,3.46453,-0.072247,0.118222,-0.068964,0.121507,0.01642,0.059112,0.070605,0.765157,1.152685,1.106709,-0.750376,0.98846,0.181069,0.131364,0.010651,0.00355,-0.017337,0.010402,0.048542,0.006935,0.006933,0.006934,0.027731,0
0.014603009,-33.761826,17.27367469,3.991627,3.805931433,3.264222,3.242877,2.754382,2.993286,3.576183,3.559763,-0.252865,0.29884,-0.210175,0.019704,-0.095235,0.052543,0.182258,0.87681,1.155969,1.109993,-0.855461,1.093545,0.101186,0.051481,0.010651,0.00355,0.010402,0.038141,0.006935,0.034672,-0.003467,0.017334,0.003466,0.024265
0.014614583,-34.372547,17.46989935,4.01954,3.84916587,3.310197,3.288852,2.783937,3.022841,3.654998,3.638578,-0.252865,0.29884,-0.210175,0.019704,-0.095235,0.052543,0.110012,0.804564,1.155969,1.109993,-0.862029,1.100113,0.218348,0.168643,-0.001775,0.015976,-0.006935,0.020804,0.03814,0.003467,-0.006933,0.0208,0.027731,0
0.014626157,-36.779232,18.24316724,4.091787,4.019541,3.38737,3.366025,2.864393,3.103297,3.809342,3.792922,-0.249581,0.295556,-0.220027,0.029556,-0.088667,0.045975,0.159271,0.853823,1.155969,1.109993,-0.855461,1.093545,0.131364,0.081659,0.010651,0.00355,0.010402,0.038141,0.048542,0.006935,0.006933,0.006934,0.024265,0.003466
