Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
0.33787,"2,834.24",0.00147,324.58136,0.00147,0.07341,0.00347,324.58136
0.33944,"2,845.34",0.00147,325.85187,0.00147,0.07372,0.00347,325.85187
0.34087,"2,855.40",0.00148,327.00372,0.00148,0.07396,0.00348,327.00372
0.3425,"2,864.09",0.00148,327.9996,0.00148,0.07419,0.00348,327.9996
0.34462,"2,879.99",0.00149,329.82016,0.00149,0.07459,0.00349,329.82016
0.34625,"2,891.27",0.0015,331.1124,0.0015,0.07492,0.0035,331.1124
0.34725,"2,897.00",0.0015,331.76822,0.0015,0.07512,0.0035,331.76822
0.3495,"2,911.34",0.00151,333.41068,0.00151,0.07542,0.00351,333.41068
0.35119,"2,924.36",0.00152,334.90155,0.00152,0.0758,0.00352,334.90155
0.35262,"2,933.08",0.00152,335.89978,0.00152,0.07607,0.00352,335.89978
0.35412,"2,941.43",0.00153,336.85596,0.00153,0.0763,0.00353,336.85596
0.35625,"2,956.70",0.00153,338.60489,0.00153,0.07672,0.00353,338.60489
0.358,"2,969.21",0.00154,340.03766,0.00154,0.07702,0.00354,340.03766
0.35906,"2,975.85",0.00154,340.79807,0.00154,0.07722,0.00354,340.79807
0.36112,"2,988.21",0.00155,342.21362,0.00155,0.07756,0.00355,342.21362
0.36287,"3,002.25",0.00156,343.82205,0.00156,0.0779,0.00356,343.82205
0.36431,"3,011.61",0.00156,344.89365,0.00156,0.07815,0.00356,344.89365
0.36569,"3,019.25",0.00157,345.76843,0.00157,0.07841,0.00357,345.76843
0.36787,"3,034.27",0.00158,347.48895,0.00158,0.07878,0.00358,347.48895
0.36969,"3,047.52",0.00158,349.00635,0.00158,0.07916,0.00358,349.00635
0.37081,"3,054.57",0.00159,349.81326,0.00159,0.07934,0.00359,349.81326
0.37262,"3,064.70",0.00159,350.97379,0.00159,0.07964,0.00359,350.97379
0.3745,"3,079.55",0.0016,352.67352,0.0016,0.08004,0.0036,352.67352
0.37612,"3,089.24",0.00161,353.78418,0.00161,0.08033,0.00361,353.78418
0.37737,"3,097.58",0.00161,354.73853,0.00161,0.08055,0.00361,354.73853
0.3795,"3,111.51",0.00162,356.33392,0.00162,0.08094,0.00362,356.33392
0.38137,"3,125.40",0.00163,357.92456,0.00163,0.08128,0.00363,357.92456
0.3825,"3,133.17",0.00163,358.81467,0.00163,0.08147,0.00363,358.81467
0.38412,"3,141.22",0.00163,359.73666,0.00163,0.08168,0.00363,359.73666
0.38619,"3,157.68",0.00164,361.62125,0.00164,0.08213,0.00364,361.62125
0.38781,"3,168.12",0.00165,362.81732,0.00165,0.08243,0.00365,362.81732
0.38906,"3,176.31",0.00165,363.7554,0.00165,0.08265,0.00365,363.7554
0.39112,"3,189.05",0.00166,365.21436,0.00166,0.083,0.00366,365.21436
0.393,"3,203.24",0.00167,366.83926,0.00167,0.08333,0.00367,366.83926
0.39431,"3,212.55",0.00167,367.90488,0.00167,0.0836,0.00367,367.90488
0.39575,"3,219.56",0.00168,368.70856,0.00168,0.08382,0.00368,368.70856
0.39787,"3,236.03",0.00168,370.59491,0.00168,0.08424,0.00368,370.59491
0.39956,"3,246.44",0.00169,371.78635,0.00169,0.08454,0.00369,371.78635
