Time in Seconds,Time in Minutes,Displacement in m-Stud1,Displacement in mm-Stud1,Displacement in m-Stud2,Displacement in mm-Stud2
5576.321289,92.938688,0.007322,-7.321701,0.006357,-6.356675
5576.321289,92.938688,0.007322,-7.321701,0.006357,-6.356675
5576.327637,92.938794,0.007322,-7.321878,0.006357,-6.356872
5576.327637,92.938794,0.007322,-7.321878,0.006357,-6.356872
5576.333984,92.9389,0.007322,-7.322057,0.006357,-6.357073
5576.333984,92.9389,0.007322,-7.322057,0.006357,-6.357073
5576.34375,92.939063,0.007322,-7.322329,0.006357,-6.357384
5576.34375,92.939063,0.007322,-7.322329,0.006357,-6.357384
5576.358398,92.939307,0.007323,-7.322747,0.006358,-6.357872
5576.358398,92.939307,0.007323,-7.322747,0.006358,-6.357872
5576.372559,92.939543,0.007323,-7.323172,0.006358,-6.358379
5576.372559,92.939543,0.007323,-7.323172,0.006358,-6.358379
5576.387207,92.939787,0.007324,-7.323606,0.006359,-6.358906
5576.387207,92.939787,0.007324,-7.323606,0.006359,-6.358906
5576.401855,92.940031,0.007324,-7.324049,0.006359,-6.35945
5576.401855,92.940031,0.007324,-7.324049,0.006359,-6.35945
5576.42334,92.940389,0.007325,-7.324731,0.00636,-6.360303
5576.42334,92.940389,0.007325,-7.324731,0.00636,-6.360303
5576.431641,92.940527,0.007325,-7.324989,0.006361,-6.360628
5576.431641,92.940527,0.007325,-7.324989,0.006361,-6.360628
5576.443848,92.940731,0.007325,-7.325382,0.006361,-6.361124
5576.443848,92.940731,0.007325,-7.325382,0.006361,-6.361124
5576.461914,92.941032,0.007326,-7.325982,0.006362,-6.361892
5576.461914,92.941032,0.007326,-7.325982,0.006362,-6.361892
5576.480469,92.941341,0.007327,-7.326593,0.006363,-6.362681
5576.480469,92.941341,0.007327,-7.326593,0.006363,-6.362681
5576.499023,92.94165,0.007327,-7.327214,0.006363,-6.363489
5576.499023,92.94165,0.007327,-7.327214,0.006363,-6.363489
