Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
10457.56445,174.292741,0.01704,17.039713,-17.039713
10461.31445,174.355241,0.018222,18.22223,-18.22223
10461.31445,174.355241,0.018222,18.22223,-18.22223
10461.54883,174.359147,0.018304,18.304273,-18.304273
10461.54883,174.359147,0.018304,18.304273,-18.304273
10461.7832,174.363053,0.01839,18.389937,-18.389937
10461.7832,174.363053,0.01839,18.389937,-18.389937
10462.01758,174.36696,0.018477,18.477229,-18.477229
10462.01758,174.36696,0.018477,18.477229,-18.477229
10462.10547,174.368424,0.01851,18.509982,-18.509982
10462.10547,174.368424,0.01851,18.509982,-18.509982
10462.23731,174.370622,0.01856,18.559564,-18.559564
10462.23731,174.370622,0.01856,18.559564,-18.559564
10462.27051,174.371175,0.018572,18.571964,-18.571964
10462.27051,174.371175,0.018572,18.571964,-18.571964
10462.30371,174.371729,0.018584,18.584434,-18.584434
10462.30371,174.371729,0.018584,18.584434,-18.584434
10462.31641,174.37194,0.018589,18.589111,-18.589111
10462.31641,174.37194,0.018589,18.589111,-18.589111
10462.32031,174.372005,0.018591,18.590864,-18.590864
10462.32031,174.372005,0.018591,18.590864,-18.590864
10462.3252,174.372087,0.018593,18.592613,-18.592613
10462.3252,174.372087,0.018593,18.592613,-18.592613
10462.32617,174.372103,0.018593,18.593049,-18.593049
10462.32617,174.372103,0.018593,18.593049,-18.593049
10462.32715,174.372119,0.018593,18.593483,-18.593483
10462.32715,174.372119,0.018593,18.593483,-18.593483
10462.32813,174.372135,0.018594,18.593593,-18.593593
10462.32813,174.372135,0.018594,18.593593,-18.593593
10462.32813,174.372135,0.018594,18.593701,-18.593701
10462.32813,174.372135,0.018594,18.593701,-18.593701
10462.32813,174.372135,0.018594,18.593861,-18.593861
10462.32813,174.372135,0.018594,18.593861,-18.593861
10462.3291,174.372152,0.018594,18.593902,-18.593902
10462.3291,174.372152,0.018594,18.593902,-18.593902
10462.3291,174.372152,0.018594,18.593943,-18.593943
10462.3291,174.372152,0.018594,18.593943,-18.593943
10462.3291,174.372152,0.018594,18.594002,-18.594002
10462.3291,174.372152,0.018594,18.594002,-18.594002
10462.3291,174.372152,0.018594,18.594062,-18.594062
10462.3291,174.372152,0.018594,18.594062,-18.594062
10462.3291,174.372152,0.018594,18.594077,-18.594077
10462.3291,174.372152,0.018594,18.594077,-18.594077
10462.3291,174.372152,0.018594,18.594099,-18.594099
10462.3291,174.372152,0.018594,18.594099,-18.594099
10462.3291,174.372152,0.018594,18.594133,-18.594133
10462.3291,174.372152,0.018594,18.594133,-18.594133
10462.3291,174.372152,0.018594,18.594183,-18.594183
